OK;0;Centrale de La Serve;Libellé;Ad API;CE;Astreinte;Histo.;N° page;N° page;N° page;écri.;Automate;Val.API mini;Val. API maxi;Val. fin mini;Val. fin maxi;Unités;Nb  0.00;Lib.inactif;Lib.actif;#
X;2;;Défaut mesure de niveau amont grille;%M101;1;def101;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;4;;Défaut mesure de niveau aval centrale;%M103;3;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;5;;Défaut niveau bas;%M104;4;def104;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;6;;Alarme niveau haut;%M105;5;def105;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;13;;Alarme niveau bas;%M112;12;def104;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;14;;Défaut acquisition température centrale;%M115;15;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;15;;Défaut acquisition température extérieur;%M116;16;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;16;;Protection de découplage;%M117;17;def117;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;17;;Protection de découplage longue;%M118;18;def118;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;20;;Arrêt d'urgence général;%M121;21;def121;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;24;;Protection C13-100;%M128;28;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;33;;Défaut Com entrées sorties déportées Ilot armoire commun;%M137;37;def137;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;34;;Défaut module entrées sorties déportées Ilot armoire commun;%M138;38;def138;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;35;;Interrupteur HTA général ouvert;%M139;39;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;42;;Défaut dégrilleur;%M147;47;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;43;;Retour de marche dégrilleur;%M148;48;;;;;;;1;0;1;0;1;;;Normal;Actif;#
X;54;;Défaut manque réactif prolongé;%M159;59;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;55;;Défaut trop de réactif prolongé;%M160;60;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;58;;     ETAT GROUPE:;;;;;2;;;;1;0;0;0;0;;;;;#
X;59;;Groupe 1 en Maintenance ;%M1001;145;;;2;;;;1;0;1;0;1;;;Inactif;Actif;#
X;60;;Groupe en Manu;%M1002;146;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;61;;Groupe en Auto;%M1003;147;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;62;;Commutateur groupe sur arrêt;%M1004;148;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;63;;Commutateur groupe sur marche;%M1005;149;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;64;;Groupe en Auto groupe 1;%M1003;;;;2;;;;1;0;1;0;1;;;Inactif;Actif;#
X;65;;Commutateur groupe sur marche groupe 1;%M1005;;;;2;;;;1;0;1;0;1;;;Inactif;Actif;#
X;66;;Retour contacteur de couplage groupe;%M1006;150;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;67;;Retour contacteur de couplage groupe 1;%M1006;;;;2;;;;1;0;1;0;1;;;NON;OUI;#
X;69;;Détecteur pales fermées;%M1009;153;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;70;;Détecteur pales ouvertes;%M1010;154;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;73;;Détecteur pales fermées g1;%M1009;;;;2;;;;1;0;1;0;1;;;Inactif;Actif;#
X;74;;Détecteur pales ouvertes g1;%M1010;;;;2;;;;1;0;1;0;1;;;Inactif;Actif;#
X;79;;Défaut com entrées sorties déportées Ilots armoire groupe;%M1015;159;def137|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;80;;Défaut module entrées sorties déportées Ilots armoire groupe;%M1016;160;def138|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;81;;Arrêt d'urgence;%M1017;161;def1017|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;82;;Démarrage trop long;%M1018;162;def1018|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;83;;Arrêt trop long;%M1019;163;def1019|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;84;;Défaut survitesse;%M1020;164;def1020|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;85;;Défaut survitesse mécanique;%M1021;165;def1021|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;86;;Survitesse prolongée;%M1022;166;def1022|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;87;;Maxi Intensité Disjoncteur;%M1023;167;def1023|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;90;;Couplages intempestifs alternateur;%M1026;170;def1026|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;91;;Couplage sauté ;%M1027;171;def1027|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;92;;Non découplage contacteur alternateur;%M1028;172;def1028|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;93;;Mini de puissance alternateur;%M1029;173;def1029|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;94;;Disjoncteur alternateur ouvert;%M1030;174;def1030|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;95;;Défaut positionnement pales;%M1031;175;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;97;;Défaut électrique moteur ppe ghy pales;%M1033;177;def1033|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;98;;Niveau bas huile ghy;%M1034;178;def1034|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;99;;Surchauffe huile ghy;%M1035;179;def1035|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;100;;Mini pression sécurité ghy;%M1036;180;def1036|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;101;;Pression établie accumulateur ghy;%M1037;181;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;102;;Gonflage trop long accumulateur ghy;%M1038;182;def1038|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;104;;Défaut acquisition pression accumulateur GHY;%M1040;184;def1040|groupe1;;;;;;1;0;1;0;1;;;Ouverte;Fermée;#
X;108;;Alarme circulation huile pivoterie;%M1044;188;def1044|groupe1;;;;;;1;0;1;0;1;;;Inactif;Actif;#
